OM	w
0.048046501	-0.475852565
0.049237207	-0.376251352
0.049241542	-0.380581630
0.049245877	-0.384911908
0.049250212	-0.389242186
0.049254548	-0.393572464
0.049258883	-0.397902742
0.049263218	-0.402233020
0.049267553	-0.406563298
0.049271888	-0.410893576
0.049276223	-0.415223855
0.049280558	-0.419554133
0.049284893	-0.423884411
0.049289228	-0.428214689
0.049293563	-0.432544967
0.049297899	-0.436875245
0.049302234	-0.441205523
0.049306569	-0.445535801
0.049310904	-0.449866079
0.049315239	-0.454196357
0.049319574	-0.458526635
0.049323909	-0.462856914
0.049328244	-0.467187192
0.049332579	-0.471517470
0.049336914	-0.475847748
0.049341249	-0.480178026
0.050527620	-0.376246535
0.050531956	-0.380576813
0.050536291	-0.384907091
0.050540626	-0.389237369
0.050544961	-0.393567647
0.050549296	-0.397897925
0.050553631	-0.402228203
0.050557966	-0.406558482
0.050562301	-0.410888760
0.050566636	-0.415219038
0.050570971	-0.419549316
0.050575306	-0.423879594
0.050579642	-0.428209872
0.050583977	-0.432540150
0.050588312	-0.436870428
0.050592647	-0.441200706
0.050596982	-0.445530984
0.050601317	-0.449861263
0.050605652	-0.454191541
0.050609987	-0.458521819
0.050614322	-0.462852097
0.050618657	-0.467182375
0.050622993	-0.471512653
0.050627328	-0.475842931
0.050631663	-0.480173209
0.050635998	-0.484503487
0.051818034	-0.376241718
0.051822369	-0.380571996
0.051826704	-0.384902274
0.051831039	-0.389232552
0.051835374	-0.393562831
0.051839709	-0.397893109
0.051844044	-0.402223387
0.051848379	-0.406553665
0.051852714	-0.410883943
0.051857050	-0.415214221
0.051861385	-0.419544499
0.051865720	-0.423874777
0.051870055	-0.428205055
0.051874390	-0.432535333
0.051878725	-0.436865611
0.051883060	-0.441195890
0.051887395	-0.445526168
0.051891730	-0.449856446
0.051896065	-0.454186724
0.051900400	-0.458517002
0.051904736	-0.462847280
0.051909071	-0.467177558
0.051913406	-0.471507836
0.051917741	-0.475838114
0.051922076	-0.480168392
0.051926411	-0.484498671
0.051930746	-0.488828949
0.053108447	-0.376236901
0.053112782	-0.380567179
0.053117117	-0.384897458
0.053121452	-0.389227736
0.053125787	-0.393558014
0.053130122	-0.397888292
0.053134457	-0.402218570
0.053138793	-0.406548848
0.053143128	-0.410879126
0.053147463	-0.415209404
0.053151798	-0.419539682
0.053156133	-0.423869960
0.053160468	-0.428200239
0.053164803	-0.432530517
0.053169138	-0.436860795
0.053173473	-0.441191073
0.053177808	-0.445521351
0.053182144	-0.449851629
0.053186479	-0.454181907
0.053190814	-0.458512185
0.053195149	-0.462842463
0.053199484	-0.467172741
0.053203819	-0.471503019
0.053208154	-0.475833298
0.053212489	-0.480163576
0.053216824	-0.484493854
0.053221159	-0.488824132
0.054403195	-0.380562363
0.054407530	-0.384892641
0.054411865	-0.389222919
0.054416201	-0.393553197
0.054420536	-0.397883475
0.054424871	-0.402213753
0.054429206	-0.406544031
0.054433541	-0.410874309
0.054437876	-0.415204587
0.054442211	-0.419534866
0.054446546	-0.423865144
0.054450881	-0.428195422
0.054455216	-0.432525700
0.054459551	-0.436855978
0.054463887	-0.441186256
0.054468222	-0.445516534
0.054472557	-0.449846812
0.054476892	-0.454177090
0.054481227	-0.458507368
0.054485562	-0.462837647
0.054489897	-0.467167925
0.054494232	-0.471498203
0.054498567	-0.475828481
0.054502902	-0.480158759
0.054507238	-0.484489037
0.054511573	-0.488819315
0.054515908	-0.493149593
0.055693608	-0.380557546
0.055697944	-0.384887824
0.055702279	-0.389218102
0.055706614	-0.393548380
0.055710949	-0.397878658
0.055715284	-0.402208936
0.055719619	-0.406539214
0.055723954	-0.410869493
0.055728289	-0.415199771
0.055732624	-0.419530049
0.055736959	-0.423860327
0.055741295	-0.428190605
0.055745630	-0.432520883
0.055749965	-0.436851161
0.055754300	-0.441181439
0.055758635	-0.445511717
0.055762970	-0.449841995
0.055767305	-0.454172274
0.055771640	-0.458502552
0.055775975	-0.462832830
0.055780310	-0.467163108
0.055784645	-0.471493386
0.055788981	-0.475823664
0.055793316	-0.480153942
0.055797651	-0.484484220
0.055801986	-0.488814498
0.055806321	-0.493144776
0.055810656	-0.497475054
0.056984022	-0.380552729
0.056988357	-0.384883007
0.056992692	-0.389213285
0.056997027	-0.393543563
0.057001362	-0.397873842
0.057005697	-0.402204120
0.057010032	-0.406534398
0.057014367	-0.410864676
0.057018702	-0.415194954
